Agno;Tipo Institucion;Matricula primer agno hombres;Matricula primer agno mujeres
2023;Univ.;53;24
2023;Univ.;12;4
2023;Univ.;0;0
2023;Univ.;23;63
2023;Univ.;21;21
2023;Univ.;17;11
2023;Univ.;1;4
2023;Univ.;0;0
2023;Univ.;6;5
2023;Univ.;30;9
2023;Univ.;22;19
2023;Univ.;0;0
2023;Univ.;32;34
2023;Univ.;0;0
2023;Univ.;1;2
2023;Univ.;7;2
2023;Univ.;23;53
2023;Univ.;41;48
2023;Univ.;30;54
2023;Univ.;25;21
2023;Univ.;75;3
2023;Univ.;50;8
2023;Univ.;25;3
2023;Univ.;120;17
2023;Univ.;51;11
2023;Univ.;49;10
2023;Univ.;37;15
2023;Univ.;72;33
2023;Univ.;70;29
2023;Univ.;10;2
2023;Univ.;9;4
2023;Univ.;133;59
2023;Univ.;43;4
2023;Univ.;16;3
2023;Univ.;32;28
2023;Univ.;41;2
2023;Univ.;19;3
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;104;12
2023;Univ.;45;12
2023;Univ.;0;0
2023;Univ.;31;5
2023;Univ.;140;77
2023;Univ.;6;6
2023;Univ.;162;90
2023;Univ.;16;16
2023;Univ.;;
2023;Univ.;;
2023;Univ.;;
2023;Univ.;15;12
2023;Univ.;43;24
2023;Univ.;58;14
2023;Univ.;28;59
2023;Univ.;46;53
2023;Univ.;14;15
2023;Univ.;9;15
2023;Univ.;14;13
2023;Univ.;;
2023;Univ.;12;8
2023;Univ.;;
2023;Univ.;18;11
2023;Univ.;19;11
2023;Univ.;;
2023;Univ.;21;3
2023;Univ.;17;6
2023;Univ.;21;9
2023;Univ.;22;8
2023;Univ.;;
2023;Univ.;;
2023;Univ.;;
2023;Univ.;;
2023;Univ.;;
2023;Univ.;;
2023;Univ.;3;3
2023;Univ.;9;14
2023;Univ.;47;10
2023;Univ.;;
2023;Univ.;;
2023;Univ.;16;32
2023;Univ.;77;6
2023;Univ.;60;6
2023;Univ.;75;7
2023;Univ.;;
2023;Univ.;119;28
2023;Univ.;125;21
2023;Univ.;65;11
2023;Univ.;28;5
2023;Univ.;40;15
2023;Univ.;107;34
2023;Univ.;51;18
2023;Univ.;45;16
2023;Univ.;125;61
2023;Univ.;118;45
2023;Univ.;12;3
2023;Univ.;27;7
2023;Univ.;24;7
2023;Univ.;18;9
2023;Univ.;80;12
2023;Univ.;79;13
2023;Univ.;139;32
2023;Univ.;101;45
2023;Univ.;27;36
2023;Univ.;29;18
2023;Univ.;23;7
2023;Univ.;17;5
2023;Univ.;;
2023;Univ.;48;21
2023;Univ.;8;3
2023;Univ.;;
2023;Univ.;52;4
2023;Univ.;50;2
2023;Univ.;;
2023;Univ.;16;22
2023;Univ.;11;5
2023;Univ.;;
2023;Univ.;;
2023;Univ.;23;5
2023;Univ.;57;4
2023;Univ.;89;10
2023;Univ.;51;19
2023;Univ.;20;4
2023;Univ.;7;6
2023;Univ.;3;12
2023;Univ.;;
2023;Univ.;;
2023;Univ.;;
2023;Univ.;;
2023;Univ.;;
2023;Univ.;19;1
2023;Univ.;35;3
2023;Univ.;9;1
2023;Univ.;47;2
2023;Univ.;71;5
2023;Univ.;5;
2023;Univ.;7;7
2023;Univ.;12;8
2023;Univ.;;
2023;Univ.;2;4
2023;Univ.;40;12
2023;Univ.;4;3
2023;Univ.;;
2023;Univ.;;
2023;Univ.;2;7
