Agno;Tipo Institucion;Matricula primer agno hombres;Matricula primer agno mujeres
2017;Univ.;3;17
2017;Univ.;1;12
2017;Univ.;23;12
2017;Univ.;58;46
2017;Univ.;32;19
2017;Univ.;;
2017;Univ.;;
2017;Univ.;33;77
2017;Univ.;5;18
2017;Univ.;8;0
2017;Univ.;41;42
2017;Univ.;14;28
2017;Univ.;44;4
2017;Univ.;11;3
2017;Univ.;9;14
2017;Univ.;;
2017;Univ.;21;26
2017;Univ.;33;30
2017;Univ.;46;38
2017;Univ.;22;20
2017;Univ.;26;28
2017;Univ.;21;51
2017;Univ.;26;36
2017;Univ.;42;54
2017;Univ.;4;37
2017;Univ.;7;13
2017;Univ.;11;40
2017;Univ.;21;23
2017;Univ.;36;15
2017;Univ.;14;17
2017;Univ.;25;20
2017;Univ.;10;32
2017;Univ.;13;14
2017;Univ.;20;22
2017;Univ.;7;47
2017;Univ.;22;38
2017;Univ.;9;58
2017;Univ.;19;36
2017;Univ.;31;40
2017;Univ.;3;51
2017;Univ.;26;41
2017;Univ.;33;37
2017;Univ.;24;42
2017;Univ.;24;39
2017;Univ.;11;38
2017;Univ.;7;48
2017;Univ.;;
2017;Univ.;37;48
2017;Univ.;27;0
2017;Univ.;60;4
2017;Univ.;62;16
2017;Univ.;59;25
2017;Univ.;56;25
2017;Univ.;64;29
2017;Univ.;51;7
2017;Univ.;;
2017;Univ.;14;15
2017;Univ.;;
2017;Univ.;60;17
2017;Univ.;49;7
2017;Univ.;34;4
2017;Univ.;14;3
2017;Univ.;3;10
2017;Univ.;14;21
2017;Univ.;52;63
2017;Univ.;44;64
2017;Univ.;27;17
2017;Univ.;41;50
2017;Univ.;13;17
2017;Univ.;5;8
2017;Univ.;36;58
2017;Univ.;29;7
2017;Univ.;42;32
2017;Univ.;;
2017;Univ.;4;3
2017;Univ.;5;8
2017;Univ.;1;3
2017;Univ.;23;32
2017;Univ.;24;66
2017;Univ.;54;60
2017;Univ.;35;78
2017;Univ.;7;17
2017;Univ.;7;1
2017;Univ.;24;47
2017;Univ.;5;11
2017;Univ.;2;0
2017;Univ.;12;26
2017;Univ.;14;29
2017;Univ.;42;28
2017;Univ.;4;34
2017;Univ.;26;27
2017;Univ.;19;23
2017;Univ.;66;5
2017;Univ.;91;22
2017;Univ.;33;16
2017;Univ.;67;25
2017;Univ.;62;19
2017;Univ.;65;36
2017;Univ.;74;36
2017;Univ.;60;27
2017;Univ.;23;12
2017;Univ.;23;2
2017;Univ.;44;8
2017;Univ.;6;7
2017;Univ.;3;1
2017;Univ.;20;22
2017;Univ.;5;4
2017;Univ.;0;0
2017;Univ.;24;38
2017;Univ.;36;34
2017;Univ.;23;24
2017;Univ.;27;20
2017;Univ.;39;36
2017;Univ.;19;32
2017;Univ.;19;4
2017;Univ.;16;10
2017;Univ.;15;2
2017;Univ.;8;5
2017;Univ.;0;1
2017;Univ.;18;23
2017;Univ.;0;0
2017;Univ.;20;34
2017;Univ.;13;37
2017;Univ.;27;32
2017;Univ.;1;53
2017;Univ.;0;45
2017;Univ.;5;29
2017;Univ.;1;15
2017;Univ.;13;16
2017;Univ.;4;11
2017;Univ.;17;30
2017;Univ.;34;24
2017;Univ.;13;37
2017;Univ.;7;12
2017;Univ.;8;10
2017;Univ.;33;11
2017;Univ.;14;17
2017;Univ.;4;40
2017;Univ.;14;28
2017;Univ.;19;41
2017;Univ.;15;26
2017;Univ.;45;15
2017;Univ.;44;20
2017;Univ.;35;25
2017;Univ.;62;5
2017;Univ.;15;11
2017;Univ.;47;4
2017;Univ.;43;19
2017;Univ.;66;25
2017;Univ.;76;10
2017;Univ.;20;33
2017;Univ.;;
2017;Univ.;10;25
2017;Univ.;8;9
2017;Univ.;4;15
2017;Univ.;24;40
2017;Univ.;15;78
2017;Univ.;6;19
2017;Univ.;41;39
2017;Univ.;29;43
2017;Univ.;16;37
2017;Univ.;38;42
2017;Univ.;2;18
2017;Univ.;0;30
2017;Univ.;9;31
2017;Univ.;20;11
2017;Univ.;9;21
2017;Univ.;7;19
2017;Univ.;15;48
2017;Univ.;24;35
2017;Univ.;9;50
2017;Univ.;3;59
2017;Univ.;38;19
2017;Univ.;;
2017;Univ.;;
2017;Univ.;42;11
2017;Univ.;28;20
2017;Univ.;68;13
2017;Univ.;50;23
2017;Univ.;;
2017;Univ.;10;1
2017;Univ.;64;22
2017;Univ.;35;1
2017;Univ.;7;2
2017;Univ.;14;2
2017;Univ.;25;4
2017;Univ.;4;1
2017;Univ.;37;13
2017;Univ.;18;3
2017;Univ.;;
2017;Univ.;16;1
2017;Univ.;37;11
2017;Univ.;35;15
2017;Univ.;10;1
2017;Univ.;32;20
2017;Univ.;25;0
2017;Univ.;;
2017;Univ.;10;9
2017;Univ.;14;18
2017;Univ.;47;31
2017;Univ.;25;15
2017;Univ.;36;19
2017;Univ.;27;13
2017;Univ.;15;10
2017;Univ.;10;15
2017;Univ.;60;2
2017;Univ.;25;10
2017;Univ.;15;47
2017;Univ.;32;44
2017;Univ.;;
2017;Univ.;36;44
2017;Univ.;31;29
2017;Univ.;46;60
2017;Univ.;8;18
2017;Univ.;67;50
2017;Univ.;73;63
2017;Univ.;;
2017;Univ.;;
2017;Univ.;17;25
2017;Univ.;38;58
2017;Univ.;39;29
2017;Univ.;;
2017;Univ.;12;39
2017;Univ.;34;23
2017;Univ.;;
2017;Univ.;14;8
2017;Univ.;10;26
2017;Univ.;45;77
2017;Univ.;23;19
2017;Univ.;25;57
2017;Univ.;;
2017;Univ.;;
2017;Univ.;27;16
2017;Univ.;;
2017;Univ.;11;6
2017;Univ.;12;14
2017;Univ.;11;5
2017;Univ.;25;61
2017;Univ.;;
2017;Univ.;45;31
2017;Univ.;9;74
2017;Univ.;52;100
2017;Univ.;1;49
2017;Univ.;13;12
2017;Univ.;43;30
2017;Univ.;;
2017;Univ.;31;6
2017;Univ.;4;40
2017;Univ.;18;65
2017;Univ.;10;32
2017;Univ.;3;46
2017;Univ.;38;47
2017;Univ.;22;20
2017;Univ.;39;43
2017;Univ.;12;64
2017;Univ.;1;29
2017;Univ.;2;79
2017;Univ.;22;56
2017;Univ.;28;46
2017;Univ.;16;20
2017;Univ.;22;37
2017;Univ.;31;29
2017;Univ.;28;33
2017;Univ.;75;6
2017;Univ.;61;29
2017;Univ.;60;42
2017;Univ.;77;44
2017;Univ.;77;24
2017;Univ.;11;18
2017;Univ.;43;29
2017;Univ.;0;0
2017;Univ.;11;47
2017;Univ.;10;9
2017;Univ.;0;0
2017;Univ.;6;3
2017;Univ.;13;12
2017;Univ.;0;0
2017;Univ.;21;5
2017;Univ.;37;21
2017;Univ.;10;9
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;6;2
2017;Univ.;13;14
2017;Univ.;15;25
2017;Univ.;0;0
2017;Univ.;8;33
2017;Univ.;29;40
2017;Univ.;0;0
2017;Univ.;0;45
2017;Univ.;0;0
2017;Univ.;2;9
2017;Univ.;3;9
2017;Univ.;5;24
2017;Univ.;40;25
2017;Univ.;9;6
2017;Univ.;8;46
2017;Univ.;0;0
2017;Univ.;0;39
2017;Univ.;28;57
2017;Univ.;9;55
2017;Univ.;1;29
2017;Univ.;30;31
2017;Univ.;13;35
2017;Univ.;11;50
2017;Univ.;2;55
2017;Univ.;29;43
2017;Univ.;25;37
2017;Univ.;11;33
2017;Univ.;7;1
2017;Univ.;3;3
2017;Univ.;36;1
2017;Univ.;0;0
2017;Univ.;16;1
2017;Univ.;28;15
2017;Univ.;14;0
2017;Univ.;35;21
2017;Univ.;20;1
2017;Univ.;9;0
2017;Univ.;8;0
2017;Univ.;0;0
2017;Univ.;13;8
2017;Univ.;6;1
2017;Univ.;13;1
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;2;31
2017;Univ.;78;7
2017;Univ.;28;14
2017;Univ.;8;0
2017;Univ.;0;0
2017;Univ.;18;32
2017;Univ.;49;41
2017;Univ.;16;11
2017;Univ.;37;4
2017;Univ.;27;28
2017;Univ.;21;11
2017;Univ.;0;0
2017;Univ.;18;13
2017;Univ.;12;17
2017;Univ.;26;44
2017;Univ.;14;17
2017;Univ.;12;38
2017;Univ.;49;51
2017;Univ.;13;13
2017;Univ.;18;30
2017;Univ.;42;15
2017;Univ.;34;16
2017;Univ.;14;36
2017;Univ.;15;21
2017;Univ.;12;50
2017;Univ.;6;44
2017;Univ.;24;25
2017;Univ.;28;39
2017;Univ.;4;38
2017;Univ.;4;46
2017;Univ.;24;53
2017;Univ.;23;24
2017;Univ.;5;25
2017;Univ.;28;28
2017;Univ.;4;39
2017;Univ.;13;26
2017;Univ.;13;12
2017;Univ.;47;1
2017;Univ.;35;2
2017;Univ.;8;11
2017;Univ.;45;1
2017;Univ.;18;3
2017;Univ.;36;22
2017;Univ.;49;8
2017;Univ.;26;24
2017;Univ.;53;17
2017;Univ.;19;7
2017;Univ.;51;4
2017;Univ.;80;35
2017;Univ.;22;19
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;17;20
2017;Univ.;31;1
2017;Univ.;59;15
2017;Univ.;0;0
2017;Univ.;7;7
2017;Univ.;26;14
2017;Univ.;7;11
2017;Univ.;8;9
2017;Univ.;13;15
2017;Univ.;2;11
2017;Univ.;6;17
2017;Univ.;21;21
2017;Univ.;0;0
2017;Univ.;3;11
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;3;5
2017;Univ.;2;5
2017;Univ.;2;8
2017;Univ.;0;0
2017;Univ.;7;11
2017;Univ.;9;9
2017;Univ.;3;6
2017;Univ.;8;4
2017;Univ.;15;12
2017;Univ.;23;41
2017;Univ.;11;17
2017;Univ.;24;30
2017;Univ.;0;13
2017;Univ.;0;33
2017;Univ.;0;0
2017;Univ.;3;10
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;0;4
2017;Univ.;4;4
2017;Univ.;6;0
2017;Univ.;8;6
2017;Univ.;3;8
2017;Univ.;10;4
2017;Univ.;2;15
2017;Univ.;1;21
2017;Univ.;2;14
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;1;60
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;12;50
2017;Univ.;4;30
2017;Univ.;21;19
2017;Univ.;24;25
2017;Univ.;10;41
2017;Univ.;0;0
2017;Univ.;6;21
2017;Univ.;16;48
2017;Univ.;8;40
2017;Univ.;6;4
2017;Univ.;0;0
2017;Univ.;44;10
2017;Univ.;36;8
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;23;3
2017;Univ.;9;6
2017;Univ.;6;0
2017;Univ.;51;7
2017;Univ.;14;4
2017;Univ.;33;4
2017;Univ.;10;3
2017;Univ.;0;0
2017;Univ.;6;2
2017;Univ.;0;0
2017;Univ.;18;0
2017;Univ.;4;9
2017;Univ.;9;14
2017;Univ.;;
2017;Univ.;;
2017;Univ.;9;15
2017;Univ.;62;67
2017;Univ.;1;3
2017;Univ.;20;57
2017;Univ.;14;21
2017;Univ.;10;22
2017;Univ.;54;28
2017;Univ.;;
2017;Univ.;;
2017;Univ.;18;13
2017;Univ.;;
2017;Univ.;15;13
2017;Univ.;;
2017;Univ.;46;1
2017;Univ.;41;34
2017;Univ.;13;11
2017;Univ.;12;25
2017;Univ.;31;79
2017;Univ.;26;33
2017;Univ.;46;87
2017;Univ.;0;20
2017;Univ.;0;3
2017;Univ.;5;11
2017;Univ.;0;3
2017;Univ.;1;1
2017;Univ.;20;7
2017;Univ.;1;7
2017;Univ.;14;50
2017;Univ.;6;52
2017;Univ.;30;34
2017;Univ.;34;33
2017;Univ.;8;57
2017;Univ.;22;46
2017;Univ.;32;39
2017;Univ.;48;5
2017;Univ.;22;8
2017;Univ.;63;5
2017;Univ.;54;15
2017;Univ.;42;17
2017;Univ.;64;46
2017;Univ.;53;7
2017;Univ.;32;4
2017;Univ.;;
2017;Univ.;46;12
2017;Univ.;;
2017;Univ.;;
2017;Univ.;;
2017;Univ.;2;1
2017;Univ.;27;11
2017;Univ.;44;34
2017;Univ.;1;0
2017;Univ.;1;0
2017;Univ.;12;10
2017;Univ.;15;9
2017;Univ.;7;3
2017;Univ.;22;59
2017;Univ.;7;17
2017;Univ.;20;15
2017;Univ.;0;60
2017;Univ.;4;78
2017;Univ.;0;34
2017;Univ.;0;27
2017;Univ.;0;6
2017;Univ.;1;3
2017;Univ.;0;1
2017;Univ.;65;17
2017;Univ.;11;11
2017;Univ.;4;28
2017;Univ.;42;223
2017;Univ.;4;32
2017;Univ.;1;38
2017;Univ.;57;64
2017;Univ.;1;2
2017;Univ.;27;66
2017;Univ.;7;55
2017;Univ.;8;64
2017;Univ.;6;35
2017;Univ.;7;33
2017;Univ.;25;3
2017;Univ.;5;0
2017;Univ.;6;4
2017;Univ.;0;0
2017;Univ.;7;0
2017;Univ.;88;52
2017;Univ.;46;54
2017;Univ.;214;95
2017;Univ.;41;64
2017;Univ.;54;43
2017;Univ.;;
2017;Univ.;46;57
2017;Univ.;76;57
2017;Univ.;11;40
2017;Univ.;39;117
2017;Univ.;67;66
2017;Univ.;47;37
2017;Univ.;72;55
2017;Univ.;68;116
2017;Univ.;42;37
2017;Univ.;131;119
2017;Univ.;1;47
2017;Univ.;;39
2017;Univ.;5;56
2017;Univ.;2;4
2017;Univ.;5;8
2017;Univ.;26;42
2017;Univ.;22;22
2017;Univ.;16;34
2017;Univ.;16;84
2017;Univ.;33;38
2017;Univ.;39;34
2017;Univ.;5;64
2017;Univ.;32;52
2017;Univ.;54;57
2017;Univ.;20;11
2017;Univ.;88;6
2017;Univ.;82;20
2017;Univ.;157;62
2017;Univ.;101;18
2017;Univ.;29;8
2017;Univ.;;
2017;Univ.;53;52
2017;Univ.;21;18
2017;Univ.;5;13
2017;Univ.;21;9
2017;Univ.;45;34
2017;Univ.;4;2
2017;Univ.;14;22
2017;Univ.;16;13
2017;Univ.;8;5
2017;Univ.;3;7
2017;Univ.;9;10
2017;Univ.;15;20
2017;Univ.;30;19
2017;Univ.;0;0
2017;Univ.;8;8
2017;Univ.;18;20
2017;Univ.;5;5
2017;Univ.;48;41
2017;Univ.;5;10
2017;Univ.;13;13
2017;Univ.;24;21
2017;Univ.;26;29
2017;Univ.;44;82
2017;Univ.;84;131
2017;Univ.;11;6
2017;Univ.;21;12
2017;Univ.;22;11
2017;Univ.;10;36
2017;Univ.;8;63
2017;Univ.;;
2017;Univ.;;
2017;Univ.;43;61
2017;Univ.;0;0
2017;Univ.;55;96
2017;Univ.;40;34
2017;Univ.;1;40
2017;Univ.;1;51
2017;Univ.;4;27
2017;Univ.;10;121
2017;Univ.;0;25
2017;Univ.;3;10
2017;Univ.;4;22
2017;Univ.;0;0
2017;Univ.;11;6
2017;Univ.;23;8
2017;Univ.;10;8
2017;Univ.;0;0
2017;Univ.;6;6
2017;Univ.;0;0
2017;Univ.;4;33
2017;Univ.;11;120
2017;Univ.;38;12
2017;Univ.;33;112
2017;Univ.;90;19
2017;Univ.;3;32
2017;Univ.;8;30
2017;Univ.;9;31
2017;Univ.;36;59
2017;Univ.;23;90
2017;Univ.;17;3
2017;Univ.;12;2
2017;Univ.;25;4
2017;Univ.;11;1
2017;Univ.;26;13
2017;Univ.;0;0
2017;Univ.;;
2017;Univ.;;
2017;Univ.;;
2017;Univ.;;
2017;Univ.;;
2017;Univ.;24;7
2017;Univ.;;
2017;Univ.;;
2017;Univ.;0;0
2017;Univ.;23;6
2017;Univ.;;
2017;Univ.;;
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;20;2
2017;Univ.;14;3
2017;Univ.;0;0
2017;Univ.;25;5
2017;Univ.;58;4
2017;Univ.;17;1
2017;Univ.;27;4
2017;Univ.;;
2017;Univ.;15;16
2017;Univ.;34;28
2017;Univ.;12;13
2017;Univ.;12;9
2017;Univ.;27;17
2017;Univ.;34;7
2017;Univ.;0;0
2017;Univ.;7;24
2017;Univ.;14;18
2017;Univ.;22;43
2017;Univ.;16;23
2017;Univ.;8;51
2017;Univ.;4;19
2017;Univ.;37;65
2017;Univ.;7;25
2017;Univ.;0;29
2017;Univ.;0;0
2017;Univ.;0;12
2017;Univ.;0;0
2017;Univ.;4;19
2017;Univ.;4;4
2017;Univ.;4;5
2017;Univ.;0;0
2017;Univ.;4;4
2017;Univ.;23;8
2017;Univ.;5;2
2017;Univ.;5;10
2017;Univ.;9;11
2017;Univ.;4;4
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;13;9
2017;Univ.;15;28
2017;Univ.;13;17
2017;Univ.;15;62
2017;Univ.;8;27
2017;Univ.;28;26
2017;Univ.;5;13
2017;Univ.;21;16
2017;Univ.;14;41
2017;Univ.;5;9
2017;Univ.;6;43
2017;Univ.;18;16
2017;Univ.;18;17
2017;Univ.;16;16
2017;Univ.;0;0
2017;Univ.;15;2
2017;Univ.;0;0
2017;Univ.;54;7
2017;Univ.;63;6
2017;Univ.;17;4
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;76;55
2017;Univ.;25;8
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;82;14
2017;Univ.;0;0
2017;Univ.;16;12
2017;Univ.;5;0
2017;Univ.;5;10
2017;Univ.;30;21
2017;Univ.;18;19
2017;Univ.;20;14
2017;Univ.;10;8
2017;Univ.;13;9
2017;Univ.;26;13
2017;Univ.;37;16
2017;Univ.;22;26
2017;Univ.;19;31
2017;Univ.;12;17
2017;Univ.;32;36
2017;Univ.;46;52
2017;Univ.;68;100
2017;Univ.;24;56
2017;Univ.;18;14
2017;Univ.;0;0
2017;Univ.;16;28
2017;Univ.;12;29
2017;Univ.;12;12
2017;Univ.;0;0
2017;Univ.;17;24
2017;Univ.;28;40
2017;Univ.;4;5
2017;Univ.;18;24
2017;Univ.;15;31
2017;Univ.;0;0
2017;Univ.;31;34
2017;Univ.;29;48
2017;Univ.;57;65
2017;Univ.;38;29
2017;Univ.;21;29
2017;Univ.;23;79
2017;Univ.;8;25
2017;Univ.;5;13
2017;Univ.;36;42
2017;Univ.;6;5
2017;Univ.;3;0
2017;Univ.;10;6
2017;Univ.;0;0
2017;Univ.;16;14
2017;Univ.;20;16
2017;Univ.;12;14
2017;Univ.;18;31
2017;Univ.;9;18
2017;Univ.;15;7
2017;Univ.;13;25
2017;Univ.;22;39
2017;Univ.;6;15
2017;Univ.;0;0
2017;Univ.;0;15
2017;Univ.;0;0
2017;Univ.;0;35
2017;Univ.;4;7
2017;Univ.;0;0
2017;Univ.;5;10
2017;Univ.;15;1
2017;Univ.;0;0
2017;Univ.;12;17
2017;Univ.;5;6
2017;Univ.;55;22
2017;Univ.;1;49
2017;Univ.;0;57
2017;Univ.;25;32
2017;Univ.;14;16
2017;Univ.;14;20
2017;Univ.;18;23
2017;Univ.;25;23
2017;Univ.;14;19
2017;Univ.;0;0
2017;Univ.;10;39
2017;Univ.;12;35
2017;Univ.;4;33
2017;Univ.;28;28
2017;Univ.;12;18
2017;Univ.;16;37
2017;Univ.;15;27
2017;Univ.;0;0
2017;Univ.;22;57
2017;Univ.;0;0
2017;Univ.;3;43
2017;Univ.;14;65
2017;Univ.;11;11
2017;Univ.;14;3
2017;Univ.;35;4
2017;Univ.;10;9
2017;Univ.;25;9
2017;Univ.;56;8
2017;Univ.;44;21
2017;Univ.;48;4
2017;Univ.;33;4
2017;Univ.;0;0
2017;Univ.;42;16
2017;Univ.;25;6
2017;Univ.;36;14
2017;Univ.;0;0
2017;Univ.;11;2
2017;Univ.;69;14
2017;Univ.;14;6
2017;Univ.;0;0
2017;Univ.;18;16
2017;Univ.;36;21
2017;Univ.;18;27
2017;Univ.;33;22
2017;Univ.;28;26
2017;Univ.;28;45
2017;Univ.;26;3
2017;Univ.;29;4
2017;Univ.;20;0
2017;Univ.;52;2
2017;Univ.;27;7
2017;Univ.;39;1
2017;Univ.;42;3
2017;Univ.;31;1
2017;Univ.;12;7
2017;Univ.;17;1
2017;Univ.;0;0
2017;Univ.;26;3
2017;Univ.;14;6
2017;Univ.;14;4
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;21;10
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;22;21
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;14;23
2017;Univ.;22;4
2017;Univ.;26;16
2017;Univ.;;
2017;Univ.;0;32
2017;Univ.;4;13
2017;Univ.;5;30
2017;Univ.;3;31
2017;Univ.;;
2017;Univ.;0;63
2017;Univ.;12;88
2017;Univ.;14;44
2017;Univ.;19;42
2017;Univ.;23;15
2017;Univ.;40;63
2017;Univ.;60;52
2017;Univ.;33;21
2017;Univ.;20;11
2017;Univ.;44;29
2017;Univ.;5;6
2017;Univ.;25;47
2017;Univ.;3;4
2017;Univ.;63;38
2017;Univ.;27;22
2017;Univ.;14;15
2017;Univ.;14;28
2017;Univ.;;
2017;Univ.;6;26
2017;Univ.;12;13
2017;Univ.;11;21
2017;Univ.;12;39
2017;Univ.;7;5
2017;Univ.;15;19
2017;Univ.;4;3
2017;Univ.;4;4
2017;Univ.;13;23
2017;Univ.;26;23
2017;Univ.;30;45
2017;Univ.;29;13
2017;Univ.;1;34
2017;Univ.;2;45
2017;Univ.;0;17
2017;Univ.;1;36
2017;Univ.;;
2017;Univ.;27;11
2017;Univ.;;
2017;Univ.;4;39
2017;Univ.;3;12
2017;Univ.;4;27
2017;Univ.;7;17
2017;Univ.;4;5
2017;Univ.;5;12
2017;Univ.;23;30
2017;Univ.;;
2017;Univ.;0;37
2017;Univ.;45;0
2017;Univ.;;
2017;Univ.;;
2017;Univ.;13;9
2017;Univ.;6;4
2017;Univ.;9;5
2017;Univ.;36;12
2017;Univ.;15;6
2017;Univ.;5;10
2017;Univ.;19;35
2017;Univ.;10;11
2017;Univ.;;
2017;Univ.;15;23
2017;Univ.;36;14
2017;Univ.;;
2017;Univ.;18;13
2017;Univ.;26;42
2017;Univ.;14;50
2017;Univ.;8;61
2017;Univ.;24;37
2017;Univ.;8;47
2017;Univ.;4;26
2017;Univ.;;
2017;Univ.;18;49
2017;Univ.;14;20
2017;Univ.;8;22
2017;Univ.;33;11
2017;Univ.;20;2
2017;Univ.;32;1
2017;Univ.;11;3
2017;Univ.;24;6
2017;Univ.;9;7
2017;Univ.;;
2017;Univ.;7;5
2017;Univ.;23;0
2017;Univ.;1;3
2017;Univ.;;
2017;Univ.;14;13
2017;Univ.;1;1
2017;Univ.;;
2017;Univ.;;
2017;Univ.;0;1
2017;Univ.;1;2
2017;Univ.;12;15
2017;Univ.;23;20
2017;Univ.;144;76
2017;Univ.;42;33
2017;Univ.;19;19
2017;Univ.;13;23
2017;Univ.;13;11
2017;Univ.;43;34
2017;Univ.;7;60
2017;Univ.;12;41
2017;Univ.;5;14
2017;Univ.;57;37
2017;Univ.;21;59
2017;Univ.;68;82
2017;Univ.;21;32
2017;Univ.;2;25
2017;Univ.;2;23
2017;Univ.;3;6
2017;Univ.;11;24
2017;Univ.;17;13
2017;Univ.;11;25
2017;Univ.;15;62
2017;Univ.;40;39
2017;Univ.;36;55
2017;Univ.;8;56
2017;Univ.;21;45
2017;Univ.;28;0
2017;Univ.;35;24
2017;Univ.;20;6
2017;Univ.;9;7
2017;Univ.;5;9
2017;Univ.;3;10
2017;Univ.;5;8
2017;Univ.;2;0
2017;Univ.;7;18
2017;Univ.;0;1
2017;Univ.;0;0
2017;Univ.;5;7
2017;Univ.;24;28
2017;Univ.;0;0
2017;Univ.;16;15
2017;Univ.;0;0
2017;Univ.;6;9
2017;Univ.;10;18
2017;Univ.;7;2
2017;Univ.;0;1
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;2;32
2017;Univ.;1;24
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;1;82
2017;Univ.;0;0
2017;Univ.;4;38
2017;Univ.;0;0
2017;Univ.;0;35
2017;Univ.;0;0
2017;Univ.;2;32
2017;Univ.;2;41
2017;Univ.;1;11
2017;Univ.;0;16
2017;Univ.;0;32
2017;Univ.;0;0
2017;Univ.;1;86
2017;Univ.;4;107
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;0;22
2017;Univ.;0;23
2017;Univ.;0;8
2017;Univ.;0;31
2017;Univ.;0;0
2017;Univ.;0;73
2017;Univ.;0;18
2017;Univ.;0;30
2017;Univ.;1;25
2017;Univ.;0;148
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;0;18
2017;Univ.;1;52
2017;Univ.;3;8
2017;Univ.;12;30
2017;Univ.;4;18
2017;Univ.;11;23
2017;Univ.;9;30
2017;Univ.;14;31
2017;Univ.;10;20
2017;Univ.;6;14
2017;Univ.;7;16
2017;Univ.;13;27
2017;Univ.;10;34
2017;Univ.;5;23
2017;Univ.;11;28
2017;Univ.;5;23
2017;Univ.;5;18
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;4;7
2017;Univ.;3;16
2017;Univ.;1;0
2017;Univ.;3;1
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;18;1
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;1;1
2017;Univ.;0;0
2017;Univ.;4;0
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;23;13
2017;Univ.;24;10
2017;Univ.;0;0
2017;Univ.;28;4
2017;Univ.;21;5
2017;Univ.;0;0
2017;Univ.;6;1
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;0;0
2017;Univ.;22;43
2017;Univ.;9;19
2017;Univ.;18;31
2017;Univ.;28;11
2017;Univ.;100;44
2017;Univ.;48;25
2017;Univ.;32;21
2017;Univ.;42;27
2017;Univ.;57;33
2017;Univ.;55;48
2017;Univ.;104;31
2017;Univ.;7;8
2017;Univ.;36;121
2017;Univ.;9;31
2017;Univ.;5;9
2017;Univ.;26;33
2017;Univ.;15;19
2017;Univ.;55;54
2017;Univ.;19;27
2017;Univ.;23;17
2017;Univ.;1;1
2017;Univ.;30;19
2017;Univ.;;
2017;Univ.;9;36
2017;Univ.;;
2017;Univ.;;
2017;Univ.;;
2017;Univ.;38;29
2017;Univ.;16;17
2017;Univ.;35;65
2017;Univ.;17;46
2017;Univ.;10;6
2017;Univ.;18;25
2017;Univ.;58;47
2017;Univ.;28;37
2017;Univ.;20;34
2017;Univ.;;
2017;Univ.;;46
2017;Univ.;;
2017;Univ.;;40
2017;Univ.;23;17
2017;Univ.;67;42
2017;Univ.;18;37
2017;Univ.;;
2017;Univ.;2;32
2017;Univ.;14;72
2017;Univ.;19;56
2017;Univ.;4;61
2017;Univ.;2;18
2017;Univ.;44;40
2017;Univ.;8;10
2017;Univ.;29;46
2017;Univ.;25;23
2017;Univ.;13;79
2017;Univ.;5;19
2017;Univ.;4;65
2017;Univ.;2;45
2017;Univ.;44;64
2017;Univ.;11;22
2017;Univ.;32;58
2017;Univ.;24;20
2017;Univ.;8;74
2017;Univ.;7;39
2017;Univ.;35;9
2017;Univ.;29;3
2017;Univ.;13;4
2017;Univ.;7;2
2017;Univ.;19;13
2017;Univ.;13;3
2017;Univ.;;
2017;Univ.;49;
2017;Univ.;;
